NUMBER_METRICS,NUMBER_DISCOUNTS,NUMBER_GUARANTEES,COMPLEXITY,ENTIRES_PER_METRIC,RESPONSE_AVG,RESPONSE_MIN,RESPONSE_MAX,RESPONSE_SD,BYTES_RECEIVED,NUMBER_COLLECTIONS,NUMBER_ITERATIONS
64,64,64,medium,7500,590.72,496,815,60.08,161700,1,100
64,64,64,medium,7500,931,732,1178,81,80850,2,50
64,64,64,medium,7500,936,739,1155,81,80850,2,50
64,64,64,medium,7500,1285,932,1560,173,53361,3,33
64,64,64,medium,7500,1290,928,1749,200,53361,3,33
64,64,64,medium,7500,1290,956,1753,171,53361,3,33
64,64,64,medium,7500,2077,1379,2551,282,40425,4,25
64,64,64,medium,7500,2093,1568,2764,314,40425,4,25
64,64,64,medium,7500,2090,1429,2741,285,40425,4,25
64,64,64,medium,7500,2098,1560,2587,284,40425,4,25
64,64,64,medium,7500,2820,2364,3769,371,32340,5,20
64,64,64,medium,7500,2825,2446,3864,329,32340,5,20
64,64,64,medium,7500,2843,2250,3839,378,32340,5,20
64,64,64,medium,7500,2851,2410,3785,370,32340,5,20
64,64,64,medium,7500,2854,2255,3877,383,32340,5,20
64,64,64,medium,7500,3188,2154,4225,567,25872,6,16
64,64,64,medium,7500,3205,877,3868,657,25872,6,16
64,64,64,medium,7500,3402,2831,4228,429,25872,6,16
64,64,64,medium,7500,3436,2887,4206,400,25872,6,16
64,64,64,medium,7500,3432,2641,4218,404,25872,6,16
64,64,64,medium,7500,3439,2803,4235,461,25872,6,16
64,64,64,medium,7500,3664,2775,5152,619,22638,7,14
64,64,64,medium,7500,3674,2622,4709,516,22638,7,14
64,64,64,medium,7500,3713,2484,4937,600,22638,7,14
64,64,64,medium,7500,3713,2532,4940,647,22638,7,14
64,64,64,medium,7500,3723,2509,4464,471,22638,7,14
64,64,64,medium,7500,3771,1519,4676,704,22638,7,14
64,64,64,medium,7500,3791,956,4833,906,22638,7,14
64,64,64,medium,7500,4441,3864,5672,490,19404,8,12
64,64,64,medium,7500,4442,3940,6008,528,19404,8,12
64,64,64,medium,7500,4444,3599,6154,686,19404,8,12
64,64,64,medium,7500,4473,3611,5622,635,19404,8,12
64,64,64,medium,7500,4468,3682,6015,594,19404,8,12
64,64,64,medium,7500,4519,3690,6015,627,19404,8,12
64,64,64,medium,7500,4524,3766,6268,666,19404,8,12
64,64,64,medium,7500,4525,3839,5864,610,19404,8,12
64,64,64,medium,7500,4788,3707,6277,645,17787,9,11
64,64,64,medium,7500,4942,4156,6274,571,17787,9,11
64,64,64,medium,7500,4941,4154,6726,756,17787,9,11
64,64,64,medium,7500,4942,4228,6722,734,17787,9,11
64,64,64,medium,7500,4965,3822,6499,727,17787,9,11
64,64,64,medium,7500,4960,4161,6492,647,17787,9,11
64,64,64,medium,7500,5023,4258,6448,671,17787,9,11
64,64,64,medium,7500,5019,4262,6729,688,17787,9,11
64,64,64,medium,7500,5022,4071,6329,717,17787,9,11
64,64,64,medium,7500,5174,3922,7861,1097,16170,10,10
64,64,64,medium,7500,5499,4428,7338,771,16170,10,10
64,64,64,medium,7500,5501,4447,6982,691,16170,10,10
64,64,64,medium,7500,5506,4454,8130,950,16170,10,10
64,64,64,medium,7500,5508,4149,7778,1001,16170,10,10
64,64,64,medium,7500,5533,4450,7165,640,16170,10,10
64,64,64,medium,7500,5589,4503,7783,1073,16170,10,10
64,64,64,medium,7500,5588,4507,7437,815,16170,10,10
64,64,64,medium,7500,5597,4275,7858,928,16170,10,10
64,64,64,medium,7500,5598,4614,7784,865,16170,10,10
64,64,64,medium,7500,5929,5335,6864,488,14553,11,9
64,64,64,medium,7500,5929,5480,6671,389,14553,11,9
64,64,64,medium,7500,5936,4570,6610,627,14553,11,9
64,64,64,medium,7500,5934,5275,6676,458,14553,11,9
64,64,64,medium,7500,5934,5505,6515,398,14553,11,9
64,64,64,medium,7500,5960,5228,6623,424,14553,11,9
64,64,64,medium,7500,6022,5228,6625,474,14553,11,9
64,64,64,medium,7500,6014,4877,7477,752,14553,11,9
64,64,64,medium,7500,6038,5049,7145,629,14553,11,9
64,64,64,medium,7500,6046,5061,6740,547,14553,11,9
64,64,64,medium,7500,4350,1051,6428,2311,12936,11,9
