NUMBER_METRICS,NUMBER_DISCOUNTS,NUMBER_GUARANTEES,COMPLEXITY,ENTIRES_PER_METRIC,RESPONSE_AVG,RESPONSE_MIN,RESPONSE_MAX,RESPONSE_SD,BYTES_RECEIVED,NUMBER_COLLECTIONS,NUMBER_ITERATIONS
64,64,64,medium,6,937.01,835,1210,67.10,161700,1,100
64,64,64,medium,18,920.56,801,1243,82.70,169500,1,100
64,64,64,medium,54,907.06,810,1495,100.13,161000,1,100
64,64,64,medium,162,930.76,819,1568,119.65,166900,1,100
64,64,64,medium,486,961.13,895,1112,41.70,161700,1,100
64,64,64,medium,1458,929.30,812,1091,50.02,159500,1,100
64,64,64,medium,4374,977.73,887,1240,49.36,161700,1,100
64,64,64,medium,13122,940.18,838,1148,49.91,159100,1,100
64,64,64,medium,39366,915.86,826,1154,51.30,163800,1,100
64,64,64,medium,118098,947.81,843,1336,67.69,166500,1,100
